Age,Gender,Education Level,Job Title,Years of Experience,Salary,Math exam score,Programming exam score
32.0,Male,Bachelor's,Software Engineer,5.0,90000.0,49,45
28.0,Female,Master's,Data Analyst,3.0,65000.0,71,73
45.0,Male,PhD,Senior Manager,15.0,150000.0,77,76
36.0,Female,Bachelor's,Sales Associate,7.0,60000.0,69,84
52.0,Male,Master's,Director,20.0,200000.0,42,41
29.0,Male,Bachelor's,Marketing Analyst,2.0,55000.0,63,69
42.0,Female,Master's,Product Manager,12.0,120000.0,86,88
31.0,Male,Bachelor's,Sales Manager,4.0,80000.0,56,52
26.0,Female,Bachelor's,Marketing Coordinator,1.0,45000.0,67,74
38.0,Male,PhD,Senior Scientist,10.0,110000.0,39,45
29.0,Male,Master's,Software Developer,3.0,75000.0,77,69
48.0,Female,Bachelor's,HR Manager,18.0,140000.0,88,89
35.0,Male,Bachelor's,Financial Analyst,6.0,65000.0,85,85
40.0,Female,Master's,Project Manager,14.0,130000.0,41,51
27.0,Male,Bachelor's,Customer Service Rep,2.0,40000.0,51,45
44.0,Male,Bachelor's,Operations Manager,16.0,125000.0,59,64
33.0,Female,Master's,Marketing Manager,7.0,90000.0,66,72
39.0,Male,PhD,Senior Engineer,12.0,115000.0,44,55
25.0,Female,Bachelor's,Data Entry Clerk,0.0,35000.0,49,58
51.0,Male,Bachelor's,Sales Director,22.0,180000.0,73,80
34.0,Female,Master's,Business Analyst,5.0,80000.0,66,75
47.0,Male,Master's,VP of Operations,19.0,190000.0,71,72
30.0,Male,Bachelor's,IT Support,2.0,50000.0,68,56
36.0,Female,Bachelor's,Recruiter,9.0,60000.0,22,33
41.0,Male,Master's,Financial Manager,13.0,140000.0,69,62
28.0,Female,Bachelor's,Social Media Specialist,3.0,45000.0,55,58
37.0,Female,Master's,Software Manager,11.0,110000.0,66,68
24.0,Male,Bachelor's,Junior Developer,1.0,40000.0,43,40
43.0,Female,PhD,Senior Consultant,15.0,140000.0,69,73
33.0,Male,Master's,Product Designer,6.0,90000.0,91,82
50.0,Male,Bachelor's,CEO,25.0,250000.0,78,77
31.0,Female,Bachelor's,Accountant,4.0,55000.0,66,72
29.0,Male,Master's,Data Scientist,3.0,75000.0,55,59
39.0,Female,Bachelor's,Marketing Specialist,10.0,65000.0,61,72
